"Nation ID","Nation","Quarter ID","Quarter","Sex ID","Sex","Workforce","Workforce Total","percentage","Time"
"mex","México",2010,"2010-Q1",1,"Hombre",30029076,38316776,0.7837057063464838,1264998600000
"mex","México",2010,"2010-Q1",2,"Mujer",18040198,42709741,0.42239071409962425,1264998600000
"mex","México",2010,"2010-Q2",1,"Hombre",30647870,38633391,0.7933000238058316,1272688200000
"mex","México",2010,"2010-Q2",2,"Mujer",18485262,42857612,0.4313180585049862,1272688200000
"mex","México",2010,"2010-Q3",1,"Hombre",30656097,38752268,0.7910787827953708,1280637000000
"mex","México",2010,"2010-Q3",2,"Mujer",18533935,43047775,0.43054339045397816,1280637000000
"mex","México",2010,"2010-Q4",1,"Hombre",30474744,39035121,0.780700641353206,1288585800000
"mex","México",2010,"2010-Q4",2,"Mujer",18003974,43191087,0.41684466056619507,1288585800000
"mex","México",2011,"2011-Q1",1,"Hombre",30560564,39316063,0.7773047876131443,1296534600000
"mex","México",2011,"2011-Q1",2,"Mujer",17944604,43311047,0.4143193305855663,1296534600000
"mex","México",2011,"2011-Q2",1,"Hombre",30938932,39492839,0.783406125854867,1304224200000
"mex","México",2011,"2011-Q2",2,"Mujer",18543180,43500703,0.4262731110345504,1304224200000
"mex","México",2011,"2011-Q3",1,"Hombre",31286071,39624852,0.7895567912783624,1312173000000
"mex","México",2011,"2011-Q3",2,"Mujer",18840961,43761807,0.4305343469934868,1312173000000
"mex","México",2011,"2011-Q4",1,"Hombre",31228279,39590554,0.7887810562085087,1320121800000
"mex","México",2011,"2011-Q4",2,"Mujer",19544217,44150580,0.44267180634999587,1320121800000
"mex","México",2012,"2012-Q1",1,"Hombre",31258840,39938067,0.7826828474197312,1328070600000
"mex","México",2012,"2012-Q1",2,"Mujer",18934002,44239662,0.42798704022648276,1328070600000
"mex","México",2012,"2012-Q2",1,"Hombre",31741976,40092941,0.7917098423884643,1335846600000
"mex","México",2012,"2012-Q2",2,"Mujer",19735202,44476435,0.4437226589766019,1335846600000
"mex","México",2012,"2012-Q3",1,"Hombre",32056760,40322418,0.7950108547557837,1343795400000
"mex","México",2012,"2012-Q3",2,"Mujer",19870290,44673041,0.4447937627527976,1343795400000
"mex","México",2012,"2012-Q4",1,"Hombre",31677784,40471975,0.782709121558807,1351744200000
"mex","México",2012,"2012-Q4",2,"Mujer",19640215,44874705,0.4376678353651573,1351744200000
"mex","México",2013,"2013-Q1",1,"Hombre",31623642,40708272,0.7768357743114225,1359693000000
