"ENT","CON","N_REN","PAREN","SEXO","EDAD","NIV","GRA","P3_5","P3_6","P3_7","P3_8","P3_9_1","P3_9_2","P3_9_3","P3_9_4","P3_9_5","P3_9_6","P3_9_7","P3_9_8","P3_9_9","P3_10","P3_11","P3_12_1","P3_12_2","P3_12_3","P3_12_4","P3_12_5","P3_12_6","P3_12_7","P3_12_8","P3_12A","P3_13","P3_14","P3_15","P3_16","P3_17_1","P3_17_2","P3_17_3","P3_17_4","P3_17_5","P3_17_6","P3_17_7","P3_17_8","P3_18","P3_19_1","P3_19_2","P3_19_3","P3_19_4","P3_19_5","P3_19_6","P3_19_7","P3_19_8","P3_20","P3_21_1","P3_21_2","P3_21_3","P3_21_4","P3_21_5","P3_21_6","P3_21_7","P3_21A","P3_21B","P3_22","P3_23","P3_24","P3_25_1","P3_25_2","P3_25_3","P3_25_4","P3_25_5","P3_26","FACTOR"
"01","01E10011","02","1","1","09","2","04","1","1","1","","","","","","","","","","","","2","0","0","0","0","0","0","1","0","","","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","1","0","4","1","04","1","1","0","1","0","0","0","4",1374
"01","01E10011","03","6","2","28","3","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","03","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1374
"01","01E10028","01","1","1","08","2","02","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","2","1","02","1","1","0","1","0","0","0","1",887
"01","01E10028","02","1","2","17","3","03","1","1","1","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","2","1","2","","2","","","","","","","","","03","","","","","","","","","","","","","","","","","","","","","","","","","","","5",887
"01","01E10028","03","1","1","19","3","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","03","","","","","","","","","","","","","","","","","","","","","","","","","","","5",887
"01","01E10028","04","1","2","20","3","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","03","","","","","","","","","","","","","","","","","","","","","","","","","","","5",887
"01","01E10030","01","1","2","22","4","01","1","2","1","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","2","2","1","2","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","0","2","2","04","2","","0","0","1","0","0","2",1450
"01","01E10080","01","5","2","06","1","02","1","1","1","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","2","1","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","2","1","02","1","1","0","1","0","0","0","1",941
"01","01E10080","02","3","1","14","3","03","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","2","02","2","","0","1","0","0","0","1",941
"01","01E10080","03","5","2","18","5","03","1","1","1","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","2","2","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","2","2","04","2","","0","1","1","0","0","1",941
"01","01E10080","04","5","2","25","5","03","1","2","2","2","","","","","","","","","","08","","","","","","","","","","","","2","","2","","","","","","","","","08","","","","","","","","","","","","","","","","","","","","","","","","","","","1",941
"01","01E10098","02","1","2","06","1","03","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","1","0","0","4","9","1","1","","","","","","","","","","","","","","","","","","","2","0","0","0","1","0","1","0","6","1","03","1","1","0","1","0","0","0","1",1303
"01","01E10098","03","1","1","09","2","03","1","1","1","","","","","","","","","","","","2","0","0","0","1","0","1","0","0","4","9","1","1","","","","","","","","","","","","","","","","","","","2","0","0","0","1","0","1","0","6","1","02","1","1","0","1","0","0","0","1",1303
"01","01E10098","04","8","2","26","3","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","03","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1303
"01","01E10134","01","5","2","18","5","03","1","2","1","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","2","2","1","2","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","2","2","12","2","","0","0","1","0","0","1",1050
"01","01E10134","02","8","1","20","5","03","1","2","1","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","2","2","1","2","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","2","2","12","2","","0","0","1","0","0","1",1050
"01","01E10175","01","1","2","19","5","03","1","1","1","","","","","","","","","","","","1","0","1","1","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","1","1","1","0","0","0","2","1","07","1","2","0","1","1","0","0","3",1235
"01","01E10175","02","1","1","21","5","03","1","1","1","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","1","1","1","0","0","0","2","1","07","1","2","0","1","1","0","0","3",1235
"01","01E10177","01","1","2","15","3","03","1","1","1","","","","","","","","","","","","1","1","1","1","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","4","2","05","1","3","0","1","0","0","0","1",818
