City Perception at Home ID,City Perception at Home,City Perception at Work ID,City Perception at Work,City Perception Streets ID,City Perception Streets,City Perception at Public Transport ID,City Perception at Public Transport,Age Range ID,Age Range,Sex ID,Sex,Population
1,Segura,1,Segura,1,Segura,1,Segura,4,15 to 19 years,1,Hombre,2009752
1,Segura,1,Segura,1,Segura,1,Segura,4,15 to 19 years,2,Mujer,596551
1,Segura,1,Segura,1,Segura,1,Segura,5,20 to 24 years,1,Hombre,5023784
1,Segura,1,Segura,1,Segura,1,Segura,5,20 to 24 years,2,Mujer,1651457
1,Segura,1,Segura,1,Segura,1,Segura,6,25 to 29 years,1,Hombre,4186276
1,Segura,1,Segura,1,Segura,1,Segura,6,25 to 29 years,2,Mujer,1893165
1,Segura,1,Segura,1,Segura,1,Segura,7,30 to 34 years,1,Hombre,3713459
1,Segura,1,Segura,1,Segura,1,Segura,7,30 to 34 years,2,Mujer,1770095
1,Segura,1,Segura,1,Segura,1,Segura,8,35 to 39 years,1,Hombre,3398999
1,Segura,1,Segura,1,Segura,1,Segura,8,35 to 39 years,2,Mujer,1879288
1,Segura,1,Segura,1,Segura,1,Segura,9,40 to 44 years,1,Hombre,3237097
1,Segura,1,Segura,1,Segura,1,Segura,9,40 to 44 years,2,Mujer,2239671
1,Segura,1,Segura,1,Segura,1,Segura,10,45 to 49 years,1,Hombre,3280839
1,Segura,1,Segura,1,Segura,1,Segura,10,45 to 49 years,2,Mujer,2068211
1,Segura,1,Segura,1,Segura,1,Segura,11,50 to 54 years,1,Hombre,2811478
1,Segura,1,Segura,1,Segura,1,Segura,11,50 to 54 years,2,Mujer,1492033
1,Segura,1,Segura,1,Segura,1,Segura,12,55 to 59 years,1,Hombre,1800752
1,Segura,1,Segura,1,Segura,1,Segura,12,55 to 59 years,2,Mujer,1042542
1,Segura,1,Segura,1,Segura,1,Segura,13,60 to 64 years,1,Hombre,1409235
1,Segura,1,Segura,1,Segura,1,Segura,13,60 to 64 years,2,Mujer,783213
1,Segura,1,Segura,1,Segura,1,Segura,14,65 to 69 years,1,Hombre,935755
1,Segura,1,Segura,1,Segura,1,Segura,14,65 to 69 years,2,Mujer,503823
1,Segura,1,Segura,1,Segura,1,Segura,15,70 to 74 years,1,Hombre,762479
1,Segura,1,Segura,1,Segura,1,Segura,15,70 to 74 years,2,Mujer,261095
1,Segura,1,Segura,1,Segura,1,Segura,16,75 to 79 years,1,Hombre,316284
1,Segura,1,Segura,1,Segura,1,Segura,16,75 to 79 years,2,Mujer,169341
1,Segura,1,Segura,1,Segura,1,Segura,17,80 or more years,1,Hombre,360738
1,Segura,1,Segura,1,Segura,1,Segura,17,80 or more years,2,Mujer,287036
1,Segura,1,Segura,1,Segura,2,Insegura,4,15 to 19 years,1,Hombre,997932
1,Segura,1,Segura,1,Segura,2,Insegura,4,15 to 19 years,2,Mujer,534720
1,Segura,1,Segura,1,Segura,2,Insegura,5,20 to 24 years,1,Hombre,2634255
1,Segura,1,Segura,1,Segura,2,Insegura,5,20 to 24 years,2,Mujer,1707781
1,Segura,1,Segura,1,Segura,2,Insegura,6,25 to 29 years,1,Hombre,2675408
1,Segura,1,Segura,1,Segura,2,Insegura,6,25 to 29 years,2,Mujer,2028271
1,Segura,1,Segura,1,Segura,2,Insegura,7,30 to 34 years,1,Hombre,2426727
1,Segura,1,Segura,1,Segura,2,Insegura,7,30 to 34 years,2,Mujer,1646945
1,Segura,1,Segura,1,Segura,2,Insegura,8,35 to 39 years,1,Hombre,1880445
1,Segura,1,Segura,1,Segura,2,Insegura,8,35 to 39 years,2,Mujer,1616733
1,Segura,1,Segura,1,Segura,2,Insegura,9,40 to 44 years,1,Hombre,1825557
1,Segura,1,Segura,1,Segura,2,Insegura,9,40 to 44 years,2,Mujer,1627584
1,Segura,1,Segura,1,Segura,2,Insegura,10,45 to 49 years,1,Hombre,1590430
1,Segura,1,Segura,1,Segura,2,Insegura,10,45 to 49 years,2,Mujer,1288086
1,Segura,1,Segura,1,Segura,2,Insegura,11,50 to 54 years,1,Hombre,1246999
1,Segura,1,Segura,1,Segura,2,Insegura,11,50 to 54 years,2,Mujer,990820
1,Segura,1,Segura,1,Segura,2,Insegura,12,55 to 59 years,1,Hombre,993663
