Near Children Support ID,Near Children Support,Near Doctor Support ID,Near Doctor Support,Near Work Support ID,Near Work Support,Near Money Support ID,Near Money Support,Age Range ID,Age Range,Sex ID,Sex,Population
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,15 to 19 years,1,Hombre,1637
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,15 to 19 years,2,Mujer,284
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,20 to 24 years,1,Hombre,1647
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,20 to 24 years,2,Mujer,1810
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,6,25 to 29 years,1,Hombre,6448
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,6,25 to 29 years,2,Mujer,7801
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,1,Hombre,8984
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,2,Mujer,7024
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,8,35 to 39 years,1,Hombre,2486
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,8,35 to 39 years,2,Mujer,7655
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,9,40 to 44 years,1,Hombre,8331
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,9,40 to 44 years,2,Mujer,12342
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,10,45 to 49 years,1,Hombre,1921
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,10,45 to 49 years,2,Mujer,3993
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,11,50 to 54 years,1,Hombre,2226
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,11,50 to 54 years,2,Mujer,2026
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,12,55 to 59 years,1,Hombre,4508
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,12,55 to 59 years,2,Mujer,4545
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,13,60 to 64 years,1,Hombre,2821
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,14,65 to 69 years,1,Hombre,625
